type,edftype,latency,urevent,duration,endtime,sac_amplitude,sac_endpos_x,sac_endpos_y,sac_startpos_x,sac_startpos_y,sac_vmax,fix_avgpos_x,fix_avgpos_y,fix_avgpupilsize,sac_angle,trial,phase,mss,ontarget,ondistractor,present,correct,stm,inrange,bad,multi,rank,refix,scrank
fixation,0.0,79124.0,21278.0,34,0.0,0.241922714160935,1051.38879394531,203.713684082031,1057.9208984375,222.923690795898,30.9432491716036,1049.18432617188,191.565353393555,0.0,-112.403522507854,3.0,vs,1.0,False,True,True,False,bird109.png,True,False,2.0,20.0,2.0,0.8260869565217391
fixation,0.0,79256.0,21280.0,81,0.0,0.241665563042201,1089.27990722656,122.172180175781,1088.07983398438,101.951782226562,39.300993459551,1089.03747558594,142.323944091797,0.0,87.4746624499516,3.0,vs,1.0,False,True,True,False,bird109.png,True,False,1.0,22.0,3.0,0.9130434782608695
fixation,0.0,79341.0,21281.0,127,0.0,0.191631629978985,1093.13391113281,165.289047241211,1092.59289550781,148.23681640625,31.9849187586214,1093.15185546875,151.90771484375,0.0,87.7252653906201,3.0,vs,1.0,False,True,True,False,bird109.png,True,False,2.0,23.0,3.0,0.9565217391304348
fixation,0.0,79501.0,21282.0,156,0.0,6.84213789331055,719.608215332031,78.9507217407227,1088.90307617188,138.823928833008,249.362854297796,700.885559082031,77.18505859375,0.0,-171.051883460349,3.0,vs,1.0,False,True,True,False,bird151.png,True,False,0.0,24.0,2.0,1.0
fixation,0.0,88600.0,21319.0,88,0.0,1.60191941370619,1050.38598632812,519.399780273438,961.471435546875,539.114135742188,87.1966604617464,1050.10144042969,509.459869384766,0.0,-11.0466666588367,5.0,vs,0.0,False,True,True,True,cup350.png,True,False,0.0,1.0,0.0,0.0
fixation,0.0,88713.0,21320.0,123,0.0,5.49500724182129,748.591003417969,515.070739746094,1047.12524414062,501.984802246094,249.453846789372,727.010437011719,513.854797363281,0.0,177.381433424579,5.0,vs,0.0,False,True,True,True,cup354.png,True,False,0.0,2.0,0.0,0.16666666666666666
fixation,0.0,88862.0,21321.0,99,0.0,7.75970085201357,762.479858398438,75.2596817016602,716.243286132812,502.654632568359,221.98539000047,755.926635742188,100.863578796387,0.0,-83.6392756593226,5.0,vs,0.0,False,True,True,True,cup691.png,True,False,0.0,3.0,0.0,0.3333333333333333
fixation,0.0,88994.0,21322.0,104,0.0,14.3171299097603,1295.39721679688,665.561462402344,751.517578125,99.8444061279297,426.369910374885,1295.490234375,682.194702148438,0.0,46.1592333598766,5.0,vs,0.0,False,True,True,True,cup406.png,True,False,0.0,4.0,0.0,0.5
fixation,0.0,89115.0,21323.0,87,0.0,4.77716743188198,1042.67456054688,786.769226074219,1288.78125,692.700073242188,267.044708717669,1031.51989746094,798.293823242188,0.0,159.444650221517,5.0,vs,0.0,False,True,True,True,cup356.png,True,False,0.0,5.0,0.0,0.6666666666666666
fixation,0.0,89230.0,21324.0,81,0.0,11.6834405108257,1230.55639648438,204.739868164062,1029.76818847656,811.312133789062,368.094396204099,1221.56945800781,205.381698608398,0.0,-71.416537642383,5.0,vs,0.0,True,False,True,True,cup436.png,True,False,1.0,6.0,0.0,0.8333333333333334
fixation,0.0,89319.0,21325.0,456,0.0,0.673595046387319,1234.95935058594,229.379287719727,1215.06469726562,194.376510620117,53.0128899001511,1226.73559570312,213.857162475586,0.0,62.8280112036768,5.0,vs,0.0,True,False,True,True,cup436.png,True,False,2.0,7.0,0.0,1.0
fixation,0.0,93706.0,21336.0,84,0.0,1.35138788548097,973.5,625.356872558594,957.307006835938,545.611572265625,96.8161833929523,965.523071289062,603.997924804688,0.0,77.8463033271384,6.0,vs,1.0,False,True,False,False,teddy bear489.png,True,False,0.0,1.0,0.0,0.0
fixation,0.0,93821.0,21337.0,104,0.0,7.73722765563965,1381.568359375,689.055908203125,969.548095703125,607.715393066406,301.443992135567,1397.93359375,699.209594726562,0.0,10.9988756016196,6.0,vs,1.0,False,True,False,False,teddy bear753.png,True,False,0.0,2.0,1.0,0.05263157894736842
fixation,0.0,93942.0,21338.0,114,0.0,2.74562696897239,1499.42626953125,583.273742675781,1403.39965820312,703.587036132812,134.74983577524,1490.88696289062,590.349426269531,0.0,-52.1878537234754,6.0,vs,1.0,False,True,False,False,teddy bear454.png,True,False,0.0,3.0,0.0,0.10526315789473684
fixation,0.0,94075.0,21339.0,123,0.0,5.04807976526541,1533.66125488281,307.075805664062,1489.37145996094,584.561828613281,209.1247239634,1520.64465332031,313.092742919922,0.0,-80.6526980404717,6.0,vs,1.0,False,True,False,False,teddy bear630.png,True,False,0.0,4.0,0.0,0.15789473684210525
